600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
1312.0,0.0,0.0,0.0,0.0,1003.0,669.0,0.0,3379.0,1175.0,2084.0,0.0,634.0,2110.0,0.0
3.0,0.0,0.0,0.0,0.0,-906.0,-410.0,0.0,37.0,13.0,-192.0,37.0,37.0,37.0,0.0
-315.0,0.0,0.0,0.0,0.0,-97.0,-259.0,0.0,13.0,0.0,5.0,13.0,13.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,38.0,45.0,37.0,4.0,52.0,25.0,-868.0,47.0,51.0,19.0,0.0
4.0,8.0,0.0,0.0,-38.0,1.0,9.0,-4.0,9.0,-368.0,6.0,7.0,9.0,1.0,0.0
25.0,-8.0,0.0,0.0,22.0,52.0,50.0,0.0,51.0,-586.0,32.0,-104.0,47.0,-760.0,0.0
-224.0,0.0,0.0,0.0,-22.0,44.0,3.0,0.0,44.0,7.0,40.0,22.0,44.0,-948.0,0.0
3.0,0.0,0.0,0.0,0.0,20.0,18.0,14.0,20.0,17.0,10.0,8.0,19.0,-472.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,-163.0,9.0,8.0,7.0,-284.0,7.0,-31.0,9.0,0.0,9.0
9.0,8.0,0.0,0.0,0.0,0.0,-127.0,8.0,-298.0,6.0,8.0,0.0,9.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-355.0,9.0,11.0,0.0,0.0,4.0,15.0,0.0,-66.0,-6.0,15.0,0.0,2.0,0.0,16.0
-518.0,-17.0,-11.0,0.0,0.0,5.0,6.0,3.0,5.0,0.0,1.0,0.0,6.0,2.0,6.0
1.0,2.0,4.0,0.0,0.0,-9.0,6.0,5.0,-309.0,0.0,7.0,0.0,5.0,-2.0,7.0
10.0,-2.0,-4.0,0.0,0.0,0.0,4.0,-8.0,-506.0,6.0,10.0,0.0,10.0,6.0,10.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,-6.0,1.0,0.0,1.0,0.0,1.0
18.0,0.0,0.0,0.0,0.0,0.0,-31.0,0.0,-923.0,0.0,18.0,12.0,18.0,1.0,18.0
15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-802.0,0.0,15.0,13.0,15.0,-7.0,15.0
11.0,3.0,0.0,0.0,0.0,0.0,-3.0,0.0,-671.0,0.0,12.0,9.0,13.0,0.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752.0,1418.0,301.0,143.0,0.0,0.0,1756.0,1640.0,0.0,0.0,1831.0,1824.0,-540.0,0.0,1816.0
28.0,0.0,22.0,-143.0,0.0,0.0,27.0,-316.0,0.0,25.0,24.0,18.0,24.0,0.0,-363.0
93.0,77.0,35.0,0.0,0.0,85.0,91.0,-774.0,78.0,-25.0,92.0,77.0,49.0,0.0,-962.0
241.0,153.0,-232.0,0.0,0.0,238.0,196.0,-550.0,213.0,0.0,245.0,153.0,-4.0,0.0,-595.0
2443.0,2081.0,-126.0,0.0,0.0,2372.0,-569.0,1047.0,611.0,0.0,2537.0,2283.0,-471.0,0.0,0.0
125.0,122.0,0.0,0.0,31.0,122.0,-936.0,6.0,101.0,0.0,126.0,119.0,0.0,0.0,0.0
74.0,83.0,9.0,0.0,-31.0,80.0,-565.0,-386.0,82.0,0.0,82.0,80.0,0.0,35.0,0.0
9.0,12.0,-9.0,0.0,0.0,13.0,0.0,-520.0,13.0,0.0,13.0,12.0,0.0,1.0,0.0
2.0,3.0,0.0,0.0,0.0,3.0,0.0,-147.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,0.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-16.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,-143.0,0.0,0.0,8.0,13.0,26.0,4.0,43.0,24.0,38.0,42.0,0.0,0.0,34.0
1.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
5.0,0.0,1.0,0.0,0.0,-94.0,3.0,-2.0,5.0,4.0,2.0,5.0,0.0,0.0,5.0
27.0,9.0,3.0,0.0,0.0,-521.0,22.0,-2.0,27.0,22.0,11.0,27.0,0.0,0.0,24.0
230.0,-496.0,-4.0,0.0,0.0,-600.0,133.0,0.0,225.0,155.0,192.0,212.0,0.0,0.0,20.0
422.0,-849.0,0.0,86.0,41.0,-271.0,152.0,0.0,328.0,287.0,363.0,325.0,0.0,0.0,-84.0
90.0,-554.0,66.0,33.0,-41.0,-694.0,72.0,0.0,-331.0,58.0,-601.0,83.0,82.0,75.0,72.0
1161.0,-803.0,392.0,380.0,341.0,-305.0,976.0,0.0,231.0,864.0,-700.0,775.0,-82.0,482.0,1140.0
100.0,10.0,97.0,-40.0,-341.0,-443.0,101.0,0.0,-560.0,-955.0,-792.0,-274.0,101.0,86.0,92.0
120.0,-900.0,31.0,110.0,0.0,0.0,118.0,0.0,-214.0,-169.0,-373.0,-819.0,111.0,60.0,113.0
44.0,-228.0,32.0,42.0,0.0,0.0,43.0,0.0,8.0,-230.0,26.0,-458.0,37.0,-267.0,40.0
22.0,0.0,16.0,20.0,0.0,0.0,21.0,0.0,11.0,2.0,14.0,-297.0,19.0,-436.0,18.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-62.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,-384.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
34.0,0.0,-218.0,33.0,0.0,0.0,-567.0,0.0,-876.0,0.0,34.0,26.0,33.0,0.0,-44.0
35.0,0.0,0.0,33.0,0.0,0.0,-868.0,7.0,0.0,0.0,23.0,25.0,32.0,8.0,-154.0
7.0,0.0,0.0,6.0,0.0,0.0,-234.0,-7.0,0.0,0.0,1.0,5.0,6.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,27.0,38.0,38.0,-687.0
33.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,28.0,33.0,33.0,-590.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,-745.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,-537.0,22.0,22.0,0.0
12.0,0.0,0.0,12.0,-2.0,0.0,0.0,0.0,0.0,0.0,9.0,-301.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
